Mês,Chave (plan x Jira),Projeto,GP Responsável,Coordenação,Segmento,Tipo,Nuvem,Meses de Contrato,Previsão,Horas Mês,Previsão_temp,Real,Saldo Acumulado,Status,Atraso em dias ,NPS ,Financeiro,Changes,Observacoes,Decisões,Mês_datetime,MesAnoFormatado,Ano_Mes,Prioridade,NPS_Combinado,Horas Previstas (Contrato),Cliente
abr.-25,AUDS,Audaces,Bianca,Matheus F.,Tech,EF,"Sales, Service e Field",15/12,1920.0,160.0,1920,2.205,-285.0,Atrasado,5400.0,Detrator ,Quitado,,Service: Homologação em andamento - prazo após aprovação dos desenvolvimentos | Sales: iniciar rodada de showing e desenvolvimentos op | Diretiva,,,abr.-25,,Normal,Detrator ,0,Audaces
abr.-25,AM,Audaces | Marketing,Bianca,Matheus F.,Indústria,EF,MKT,15/12,80.0,0.0,80,50.0,30.0,Atrasado,5400.0,Promotor,Quitado,,BUs em análise do cliente | Iniciar aquecimento | Jornadas dependentes de Leads,,,abr.-25,,Normal,Promotor 😀,0,Audaces
abr.-25,GT,Global Tire,Bruna,Matheus F.,Indústria,EH,Sales,16/12,1000.0,833333.3333,0,955.0,45.0,Atrasado,11300.0,Detrator,Quitado,,Relatórios e funil de vendas bandas - pendentes ,,,abr.-25,,Normal,Detrator 😡,0,Global Tire
abr.-25,RB,Resinas Brasil,Bruna,Matheus F.,Indústria,EF,Sales,12/7,625.0,892857.1429,0,708.0,-83.0,Atrasado,15000.0,Promotor,Quitado,,Pendente: relatórios e Hypercare (19/05),,,abr.-25,,Normal,Promotor 😀,0,Resinas Brasil
abr.-25,ACG,ACG | Marketing,Renata,Matheus F.,Tech,EF MKT,MKT,10/02,80.0,40.0,80,160.0,-80.0,Atrasado,11900.0,Neutro,Quitado,,2 jornadas pendentes de desenvolvimento e equipe ACG ainda sem definição dos requisitos das jornadas.,Formalizar para cobrar das horas da sustentação possíveis ajustes.,,abr.-25,,Normal,Neutro 😐,0,ACG
abr.-25,EM,Eurokraft | Marketing,Renata,Matheus F.,Varejo,EH Mkt,MKT,10/05,80.0,16.0,80,3.0,77.0,Atrasado,3800.0,Neutro,Quitado,,,,,abr.-25,,Normal,Neutro 😐,0,Eurokraft
abr.-25,GEK,Eurokraft | Sales,Renata,Matheus F.,Varejo,EH,Sales,10/05,315.0,63.0,315,115.0,200.0,Atrasado,10100.0,Neutro,Quitado,,,,,abr.-25,,Normal,Neutro 😐,0,Eurokraft
abr.-25,FIX,Fix Implementos,Renata,Matheus F.,Indústria,EH,Sales,10/05,410.0,82.0,410,323.0,87.0,Atrasado,6800.0,Neutro,Quitado,40h,> Change CIC (40h) precisa ser cobrada - Fazio Ciente,status subconcluído para controlar integração,,abr.-25,,Normal,Neutro 😐,0,Fix Implementos
abr.-25,IPK,Isopack,Renata,Matheus F.,Indústria,EF,Sales,14/04,260.0,65.0,260,473.0,-213.0,Atrasado,27300.0,Neutro,Quitado,22,,,,abr.-25,,Normal,Neutro 😐,0,Isopack
abr.-25,POR,Portonave Fase 2,Yara,Matheus F.,Serviços,EH,Sales / Service / Digital / MKT / MAPS,6,550.0,91.0,550,547.0,3.0,Atrasado,9000.0,Promotor,Quitado,,"Falta aprovação formal das 41h a serem aprovads - revemos alguns pontos e conseguimos deixar 4h, tirando treinamento MKT do aporte. Go Live presencial Service no dia 02/04. 3h restantes reservadas para MKT",Agenda comercial para negociação dos adicionais.  Grazi participando das tratativas.,,abr.-25,,Normal,Promotor 😀,0,Portonave Fase 2
abr.-25,DUXS,DUX | Service Cloud,Bianca,Matheus F.,Indústria,EH,Service,,360.0,0.0,,210.0,150.0,No prazo,0.0,Promotor,Recebendo,,Projeto retomado - prazo: 08/08,,,abr.-25,,Normal,Promotor 😀,0,DUX
